license	modified	collectionID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	occurrenceID	catalogNumber	recordNumber	recordedBy	occurrenceStatus	preparations	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	eventDate	startDayOfYear	year	month	day	verbatimEventDate	fieldNotes	higherGeography	countryCode	stateProvince	locality	verbatimElevation	decimalLatitude	decimalLongitude	verbatimCoordinateSystem	scientificName	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	taxonRank	nomenclaturalCode
CC_BY_NC_4_0	2012-05-16T00:00:00Z	http://biocol.org/urn:lsid:biocol.org:col:15670	E	E	Royal Botanic Garden Edinburgh Herbarium	E	http://data.rbge.org.uk/herb/E00366132	E00366132		M. Zpurzopere[?]	PRESENT	herbarium specimen of unspecified type			BGBASE:379735	Det. [Apebwamsh]	1960-04-12T00:00:00	103	1960	4	12	1960-04-12		West Asia and Egypt	AM		[illegible]	730 M			degrees minutes seconds	Vicia lathyroides L.	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vicia	lathyroides		SPECIES	ICBN
CC_BY_NC_4_0	2014-06-12T00:00:00Z	http://biocol.org/urn:lsid:biocol.org:col:15670	E	E	Royal Botanic Garden Edinburgh Herbarium	E	http://data.rbge.org.uk/herb/E00370118	E00370118		Gagnidze, R. & Gelidze 	PRESENT	herbarium specimen of unspecified type			BGBASE:382054		1975-08-13T00:00:00	225	1975	8	13	1975-08-13		West Asia and Egypt	GE		Svaneti, between Selenyati Kala [?] & Ushguli	1900 M			degrees minutes seconds	Vicia caucasica Ekvtim.	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vicia	caucasica		SPECIES	ICBN
CC_BY_NC_4_0	2012-10-22T00:00:00Z	http://biocol.org/urn:lsid:biocol.org:col:15670	E	E	Royal Botanic Garden Edinburgh Herbarium	E	http://data.rbge.org.uk/herb/E00364703	E00364703	6782	"Maxted; Bisby; Forde; Golubev; Munyenyembe & Yurchikov"	PRESENT	herbarium specimen of unspecified type			BGBASE:376870		1989-06-16T00:00:00	167	1989	6	16	1989-06-16		West Asia and Egypt	AM		Nearest settlement: Dilizhan. 10km from Dilizhan on Yerevan road	1990 M	40.683333	44.883333	degrees minutes seconds	Vicia sepium var. sepium	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vicia	sepium	sepium	VARIETY	ICBN
CC_BY_NC_4_0	2012-10-22T00:00:00Z	http://biocol.org/urn:lsid:biocol.org:col:15670	E	E	Royal Botanic Garden Edinburgh Herbarium	E	http://data.rbge.org.uk/herb/E00364702	E00364702	6833	"Maxted; Bisby; Forde; Golubev; Munyenyembe & Yurchikov"	PRESENT	herbarium specimen of unspecified type			BGBASE:376869		1989-06-21T00:00:00	172	1989	6	21	1989-06-21		West Asia and Egypt	AM		Nearest settlement: Shurnookh. Behind the 29/33km sign on Goris to Kafan road 	1550 M	39.366667	46.4	degrees minutes seconds	Vicia sepium var. sepium	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vicia	sepium	sepium	VARIETY	ICBN
CC_BY_NC_4_0	2012-09-12T00:00:00Z	http://biocol.org/urn:lsid:biocol.org:col:15670	E	E	Royal Botanic Garden Edinburgh Herbarium	E	http://data.rbge.org.uk/herb/E00364759	E00364759	6894	"Maxted; Bisby; Forde; Golubev; Munyenyembe & Yurchikov"	PRESENT	herbarium specimen of unspecified type			BGBASE:376945		1989-06-22T00:00:00	173	1989	6	22	1989-06-22		West Asia and Egypt	AM	Vayots' Dzor	Dzhermuk, banks opposite Dzhermuk airpoet 	2060 M	39.816667	45.716667	degrees minutes seconds	Vicia balansae Boiss.	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vicia	balansae		SPECIES	ICBN
CC_BY_NC_4_0	2009-09-17T00:00:00Z	http://biocol.org/urn:lsid:biocol.org:col:15670	E	E	Royal Botanic Garden Edinburgh Herbarium	E	http://data.rbge.org.uk/herb/E00294956	E00294956	6843	"Maxted; Bisby; Forde; Golubev; Munyenyembe & Yurchikov"	PRESENT	herbarium specimen of unspecified type			BGBASE:327100		1989-06-21T00:00:00	172	1989	6	21	1989-06-21	Roadside banks and woodland.	West Asia and Egypt	AM		Nearest Settlement Shurnookh, behind the 29/33 Km sign on Goris to Kafan road.	1550 M	39.366667	46.4	degrees minutes seconds	Vicia crocea (Desf.) B.Fedsch.	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vicia	crocea		SPECIES	ICBN
CC_BY_NC_4_0	2012-10-22T00:00:00Z	http://biocol.org/urn:lsid:biocol.org:col:15670	E	E	Royal Botanic Garden Edinburgh Herbarium	E	http://data.rbge.org.uk/herb/E00364698	E00364698	6526	"Maxted; Bisby; Forde; Golubev; Munyenyembe & Yurchikov"	PRESENT	herbarium specimen of unspecified type			BGBASE:376865		1989-06-03T00:00:00	154	1989	6	3	1989-06-03		West Asia and Egypt	AM		Nearest settlement: Ttudjur. Northern edge of town	1740 M	40.633333	45.4	degrees minutes seconds	Vicia sepium var. sepium	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vicia	sepium	sepium	VARIETY	ICBN
CC_BY_NC_4_0	2014-06-12T00:00:00Z	http://biocol.org/urn:lsid:biocol.org:col:15670	E	E	Royal Botanic Garden Edinburgh Herbarium	E	http://data.rbge.org.uk/herb/E00370117	E00370117		Mukbaniani, M. & Mukhvetadze, D.	PRESENT	herbarium specimen of unspecified type			BGBASE:382053		1978-07-23T00:00:00	204	1978	7	23	1978-07-23		West Asia and Egypt	GE		Lower Svaneti				degrees minutes seconds	Vicia caucasica Ekvtim.	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vicia	caucasica		SPECIES	ICBN
CC_BY_NC_4_0	2009-09-17T00:00:00Z	http://biocol.org/urn:lsid:biocol.org:col:15670	E	E	Royal Botanic Garden Edinburgh Herbarium	E	http://data.rbge.org.uk/herb/E00294957	E00294957	6726	"Maxted; Bisby; Forde; Golubev; Munyenyembe & Yurchikov"	PRESENT	herbarium specimen of unspecified type			BGBASE:327101		1989-06-14T00:00:00	165	1989	6	14	1989-06-14	Steep valleysides with streams in their bases.	West Asia and Egypt	GE		Nearest Settlement, Sairme,  18 kms. south of Sairme on road to border.	1480 M	41.866667	42.9	degrees minutes seconds	Vicia crocea (Desf.) B.Fedsch.	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vicia	crocea		SPECIES	ICBN
CC_BY_NC_4_0	2012-10-22T00:00:00Z	http://biocol.org/urn:lsid:biocol.org:col:15670	E	E	Royal Botanic Garden Edinburgh Herbarium	E	http://data.rbge.org.uk/herb/E00364700	E00364700	6970	"Maxted; Bisby; Forde; Golubev; Munyenyembe & Yurchikov"	PRESENT	herbarium specimen of unspecified type			BGBASE:376867		1989-06-26T00:00:00	177	1989	6	26	1989-06-26		West Asia and Egypt	AM		Nearest settlement: Ankavan. Small canyon at head of valley	6970 M	40.65	44.5	degrees minutes seconds	Vicia sepium var. sepium	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vicia	sepium	sepium	VARIETY	ICBN
